feature,weight
intercept,-7.8140034326783665
volatile acidity scaled,10.981113807988333
density scaled,2.7024302722125
sulphates scaled,8.554135543255567
chlorides scaled,5.871994278622607
fixed acidity scaled,6.798258393254452
